,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('gas_boiler', 'heat_generation'), 'status')","(('chp', 'electricity'), 'flow')","(('chp', 'electricity'), 'status')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electricity', 'electrolysis'), 'status')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-02-09 20:00:00,1233.1334542673374,1048.1634361272368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.5403504540516,329.2693615,1.0,0.0,0.0,0.0,0.0,1666.906481837763,0.0,1662.31152775
2018-02-09 21:00:00,1187.696438679102,1009.5419728772366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.50826610873642,328.882077,1.0,0.0,0.0,0.0,0.0,1627.897734087763,0.0,1623.30278
2018-02-09 22:00:00,1117.386400443808,949.7784403772367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.5275242915057,329.11444775,1.0,0.0,0.0,0.0,0.0,1568.366572337763,0.0,1563.77161825
2018-02-09 23:00:00,1114.7176727967492,947.5100218772367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.55957078860504,329.501732,1.0,0.0,0.0,0.0,0.0,1566.485438087763,0.0,1561.890484
2018-02-10 00:00:00,1083.449585296749,920.9321475022367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.57886538296978,329.73490687500004,1.0,0.0,0.0,0.0,0.0,1540.140738587763,0.0,1535.5457845
2018-02-10 01:00:00,1076.8341880908667,915.3090598772368,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.59171579027677,329.89035675,1.0,0.0,0.0,0.0,0.0,1534.673100837763,0.0,1530.07814675
2018-02-10 02:00:00,1078.3975752967492,916.6379390022367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.57886538296978,329.73490687500004,1.0,0.0,0.0,0.0,0.0,1535.846530087763,0.0,1531.2515760000001
2018-02-10 03:00:00,1111.837779561455,945.0621126272366,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.6109724476311,330.1235315,1.0,0.0,0.0,0.0,0.0,1564.659328337763,0.0,1560.0643742500001
2018-02-10 04:00:00,1143.8654023555723,972.2855920022365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.63030341565792,330.357514125,1.0,0.0,0.0,0.0,0.0,1592.116790337763,0.0,1587.52183625
2018-02-10 05:00:00,1276.7797466202785,1085.2627846272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.66247092856761,330.747485,1.0,0.0,0.0,0.0,0.0,1705.483953837763,0.0,1700.88899975
2018-02-10 06:00:00,1458.2547172085137,1239.5165096272367,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.64317802840503,330.5135025,1.0,0.0,0.0,0.0,0.0,1859.503696337763,0.0,1854.90874225
2018-02-10 07:00:00,1433.4679325026311,1218.4477426272365,1.0,199.99999999999997,1.0,289.47368421052636,526.3157894736842,163.64970901899878,330.59230875000003,1.0,0.0,0.0,0.0,0.0,1838.513735587763,0.0,1833.9187815
