,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-03 04:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,36143.52324848879,2028.9549415000001
2018-01-03 05:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,34110.66626881441,2024.21147275
2018-01-03 06:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,31897.312664007524,2204.93591725
2018-01-03 07:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,29574.34542681616,2314.7975969999998
2018-01-03 08:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,27224.267212982955,2342.16890525
2018-01-03 09:00:00,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,24933.020629296207,2283.600645
2018-01-03 10:00:00,0.0,0.0,0.0,-0.0,0.0,849.9874251329616,1646.9569249976576,1.0,0.0,-0.0,-0.0,1646.9569249976576,24412.331411577114,2160.25698075
2018-01-03 11:00:00,0.0,0.0,0.0,-0.0,0.0,852.8752517993789,1680.9249670595248,1.0,0.0,-0.0,-0.0,1680.9249670595248,24080.053936064072,2005.8716335
2018-01-03 12:00:00,0.0,0.0,0.0,-0.0,0.0,853.495619108841,1688.2861746037913,1.0,0.0,-0.0,-0.0,1688.2861746037913,23889.915912205644,1871.13062725
2018-01-03 13:00:00,0.0,0.0,0.0,-0.0,0.0,852.7756722060926,1679.752845392003,1.0,0.0,-0.0,-0.0,1679.752845392003,23706.328607881187,1856.067887
