,Normed PV feed in series for 1 kWp installed PV capacity,Heat demand time series inclusive losses of district hetaing network. This demand time series needs to be equal to the thermal energy after the thermal storage in the modelica model,This is the COP of the air source heat pump. It must be identical to the COP of the modelica model.,Maximum thermal power of the air sourced heatpump. ,Fixed loss factor related to the thermal capacity of the storage. It can be considered as thermal losses in the empty state e.g. at 50C,Loss factor dependent on the state of charge of the storage. It is related to the thermal capacity of the storage
SECONDS,pv_normed_per_kWp,Heat_demand_after_storage_kW,COP_Heatpump_air,Maximum-Power_Heatpump_air,TES_fix_loss_factor,TES_SOC_loss_factor
170100,0,1961.89263,1.856583818,0.597489784,0.0001,0.0002
171000,0,1961.89263,1.847936169,0.594153329,0.0001,0.0002
171900,0,1923.240019,1.83928852,0.590816873,0.0001,0.0002
172800,0,1968.803985,1.83064087,0.587480418,0.0001,0.0002
173700,0,1977.212936,1.833928659,0.588747447,0.0001,0.0002
174600,0,1977.212936,1.837216448,0.590014476,0.0001,0.0002
175500,0,1955.14498,1.840504237,0.591281506,0.0001,0.0002
176400,0,1969.891688,1.843792026,0.592548535,0.0001,0.0002
177300,0,1969.891688,1.841158037,0.591533319,0.0001,0.0002
178200,0,2001.323692,1.838524049,0.590518103,0.0001,0.0002
179100,0,1994.277871,1.83589006,0.589502887,0.0001,0.0002
180000,0,1996.201412,1.833256071,0.588487671,0.0001,0.0002
180900,0,1998.434721,1.830005617,0.587236459,0.0001,0.0002
181800,0,2009.618735,1.826755163,0.585985248,0.0001,0.0002
182700,0,2009.618735,1.823504709,0.584734036,0.0001,0.0002
183600,0,2015.410591,1.820254255,0.583482824,0.0001,0.0002
184500,0,1998.676118,1.820254255,0.583482824,0.0001,0.0002
185400,0,1998.676118,1.820254255,0.583482824,0.0001,0.0002
186300,0,2040.258107,1.820254255,0.583482824,0.0001,0.0002
187200,0,2023.596094,1.820254255,0.583482824,0.0001,0.0002
188100,0,2023.596094,1.820254255,0.583482824,0.0001,0.0002
189000,0,2023.401299,1.820254255,0.583482824,0.0001,0.0002
189900,0,2045.226279,1.820254255,0.583482824,0.0001,0.0002
190800,0,2061.282954,1.820254255,0.583482824,0.0001,0.0002
191700,0,1966.216283,1.808311979,0.578901246,0.0001,0.0002
192600,0,2034.673327,1.796369704,0.574319669,0.0001,0.0002
193500,0,2034.673327,1.784427428,0.569738091,0.0001,0.0002
194400,0,2151.426579,1.772485152,0.565156513,0.0001,0.0002
195300,0,2232.962425,1.773098045,0.56539105,0.0001,0.0002
196200,0,2232.962425,1.773710937,0.565625588,0.0001,0.0002
197100,0,2202.39224,1.77432383,0.565860125,0.0001,0.0002
198000,0,2297.594773,1.774936722,0.566094662,0.0001,0.0002
198900,0,2297.594773,1.787560739,0.570939838,0.0001,0.0002
199800,0,2361.457062,1.800184755,0.575785014,0.0001,0.0002
200700,0,2302.54378,1.812808772,0.58063019,0.0001,0.0002
201600,0,2299.044409,1.825432788,0.585475366,0.0001,0.0002
202500,0,2319.377484,1.840868433,0.591436135,0.0001,0.0002
203400,0,2375.126864,1.856304078,0.597396903,0.0001,0.0002
204300,0,2375.126864,1.871739723,0.603357672,0.0001,0.0002
205200,0.04564147,2292.449582,1.887175368,0.60931844,0.0001,0.0002
206100,0.107774436,2299.374811,1.895650707,0.612608063,0.0001,0.0002
207000,0.152265262,2299.374811,1.904126045,0.615897686,0.0001,0.0002
207900,0.191242361,2243.203376,1.912601384,0.619187309,0.0001,0.0002
208800,0.228644415,2200.842253,1.921076722,0.622476932,0.0001,0.0002
209700,0.2546982,2200.842253,1.932108939,0.626776383,0.0001,0.0002
210600,0.267611444,2169.651653,1.943141156,0.631075835,0.0001,0.0002
211500,0.254753197,2069.691764,1.954173373,0.635375286,0.0001,0.0002
212400,0.228278312,2019.676132,1.96520559,0.639674737,0.0001,0.0002
213300,0.208308739,2053.309688,1.968996496,0.641156606,0.0001,0.0002
214200,0.207405127,1975.250357,1.972787402,0.642638475,0.0001,0.0002
215100,0.223020862,1975.250357,1.976578307,0.644120343,0.0001,0.0002
216000,0.241183859,1948.206725,1.980369213,0.645602212,0.0001,0.0002
216900,0.248620718,1863.757535,1.978845852,0.645006455,0.0001,0.0002
217800,0.235695542,1863.757535,1.977322491,0.644410698,0.0001,0.0002
218700,0.215863326,1808.800714,1.97579913,0.643814941,0.0001,0.0002
219600,0.194272059,1848.974428,1.974275769,0.643219184,0.0001,0.0002
220500,0.167656364,1848.974428,1.971256999,0.642039688,0.0001,0.0002
221400,0.149772498,1871.133175,1.968238229,0.640860192,0.0001,0.0002
222300,0.129004244,1855.189517,1.965219458,0.639680697,0.0001,0.0002
223200,0.100829994,1827.359013,1.962200688,0.638501201,0.0001,0.0002
224100,0.077269688,1795.661926,1.961451757,0.638208803,0.0001,0.0002
225000,0.053708553,1829.927581,1.960702825,0.637916404,0.0001,0.0002
225900,0.032858037,1829.615235,1.959953894,0.637624006,0.0001,0.0002
226800,0.017989824,1829.523534,1.959204962,0.637331607,0.0001,0.0002
