Time;T_amp
3031200;-2.3
3034800;-2.6
3038400;-2.6
3042000;-2.6
3045600;-3
3049200;-3
3052800;-2.7
3056400;-2.4
3060000;-1.8
3063600;-1.5
3067200;-0.4
3070800;-0.1
3074400;0.4
3078000;0.2
3081600;0
3085200;-0.6
3088800;-0.7
3092400;-1
3096000;-1.9
3099600;-2.3
3103200;-1.7
3106800;-1.8
3110400;-1.4
3114000;-1.3
3117600;-1.3
3121200;-1.4
3124800;-1.5
3128400;-2.1
3132000;-1.7
3135600;-1.7
3139200;-1.8
3142800;-1.4
3146400;-1.1
3150000;-0.6
3153600;0.1
3157200;0.6
3160800;1.2
3164400;1.3
3168000;1.7
3171600;2.5
3175200;2.9
3178800;3.4
3182400;3.6
3186000;3.7
3189600;3.6
3193200;3.5
3196800;3.8
3200400;4
3204000;4.3
3207600;4.5
3211200;4.9
3214800;4.8
3218400;4.7
3222000;4.8
3225600;5.1
3229200;5
3232800;5.3
3236400;5.4
3240000;5.5
3243600;5.4
3247200;5.7
3250800;5.4
3254400;5.1
3258000;4.8
3261600;4.6
3265200;4.6
3268800;4.5
3272400;4.3
3276000;4.3
3279600;4.7
3283200;4.6
3286800;4.6
3290400;4.4
3294000;4.3
3297600;4.4
3301200;4.3
3304800;4.2
3308400;4.2
3312000;4
3315600;4
3319200;4.8
3322800;5
3326400;5.1
3330000;5.1
3333600;4.6
3337200;3.9
3340800;3.2
3344400;3.4
3348000;3.3
3351600;3.3
3355200;3.3
3358800;3.2
3362400;3.1
3366000;3.3
3369600;3.2
3373200;3.1
3376800;3
3380400;2.4
3384000;2.3
3387600;2.1
3391200;1.5
3394800;1.5
3398400;1.5
3402000;1.8
3405600;2.3
3409200;1.7
3412800;1.9
3416400;2.4
3420000;2.8
3423600;2.9
3427200;2.6
3430800;2.2
3434400;1.7
3438000;1.4
3441600;1.3
3445200;1.3
3448800;1.2
3452400;1.2
3456000;1.3
3459600;1.3
3463200;1.4
3466800;1.3
3470400;1.4
3474000;1.4
3477600;1.5
3481200;1.5
3484800;1.4
3488400;1.6
3492000;2.1
3495600;2.3
3499200;2.7
3502800;2.5
3506400;2.5
3510000;2.4
3513600;2
3517200;1.8
3520800;1.5
3524400;1.3
3528000;1
3531600;0.8
3535200;1.5
3538800;2.4
3542400;3.4
3546000;4
3549600;4
3553200;3.2
3556800;3
3560400;1.9
3564000;1.9
3567600;2
3571200;1.8
3574800;2.1
3578400;2.2
3582000;3.3
3585600;3.6
3589200;3.7
3592800;2.9
3596400;3
3600000;2.5
3603600;1.8
3607200;0.1
3610800;-0.6
3614400;-1.3
3618000;-1.2
3621600;-1.4
3625200;-1.6
3628800;-2.1
3632400;-1.7
3636000;-1.6
3639600;-1.4
3643200;-1
3646800;-0.6
3650400;-0.6
3654000;-0.6
3657600;-0.2
3661200;0.7
3664800;1.3
3668400;1.5
3672000;2
